metro13,metro_title,change_ln_population,not_lbfr_share_prime_change,unemployed_share_prime_change,non_hc_share_prime_change,hc_emp_share_prime_change,manu_share_prime_change,non_manu_share_prime_change,manufacturing_share_prime1980,ln_msa_pop2022,ln_msa_pop1980,medicare_share1980,medicare_share2022,change_medicare_share,ln_aearn1980,ln_aearn2022,change_earnings,college1980,college2022,change_college,healthcare_share_prime2022,healthcare_share_prime1980,change_non_hc_share_lbfr,change_ln_non_hc,non_hc_manu_share_prime_change
40900,"Sacramento--Roseville--Arden-Arcade, CA",0.7688,-0.06413,-0.0214,0.04333,0.04221,0.002034,0.0835,0.04854,14.68,13.91,0.09572,0.1659,0.07019,10.5,11.03,0.5329,0.184,0.3282,0.1442,0.09323,0.05102,-0.04104,0.7771,0.041285999
41180,"St. Louis, MO-IL",0.09785,-0.09385,-0.01877,0.06211,0.05051,-0.08659,0.1992,0.1764,14.82,14.73,0.1186,0.179,0.0604,10.54,10.94,0.3996,0.1419,0.3544,0.2125,0.1132,0.06265,-0.04041,0.1786,0.1487
41620,"Salt Lake City, UT",0.6612,-0.07918,-0.01177,0.0511,0.03985,-0.0371,0.1281,0.1189,14.04,13.38,0.07448,0.1183,0.04379,10.48,10.95,0.4741,0.1912,0.3331,0.1419,0.09069,0.05084,-0.03334,0.8299,0.088200003
41700,"San Antonio-New Braunfels, TX",0.8145,-0.07831,0.004249,0.04452,0.02954,-0.02968,0.1037,0.07816,14.77,13.96,0.09326,0.1371,0.04384,10.27,10.78,0.5058,0.1376,0.2917,0.1541,0.0891,0.05956,-0.02945,0.9287,0.074201003
41740,"San Diego-Carlsbad, CA",0.5291,-0.07414,-0.005631,0.0485,0.03128,-0.02781,0.1076,0.1081,14.97,14.44,0.1025,0.156,0.05349,10.42,11.06,0.6395,0.1859,0.3926,0.2067,0.08494,0.05367,-0.03579,0.5724,0.076301001
41860,"San Francisco-Oakland-Hayward, CA",0.3218,-0.06281,-0.005039,0.04325,0.0246,-0.04417,0.112,0.1052,15.32,14.99,0.1108,0.1731,0.06224,10.65,11.38,0.7353,0.2455,0.4994,0.2539,0.08641,0.06181,-0.02207,0.3589,0.087419003
41940,"San Jose-Sunnyvale-Santa Clara, CA",0.3626,-0.04292,-0.00183,0.02686,0.01789,-0.1607,0.2054,0.2866,14.46,14.09,0.07464,0.149,0.07433,10.67,11.47,0.7986,0.2389,0.5127,0.2739,0.06637,0.04848,-0.02197,0.3751,0.18756001
42660,"Seattle-Tacoma-Bellevue, WA",0.6381,-0.06195,-0.008814,0.04791,0.02286,-0.084,0.1548,0.1559,15.19,14.55,0.09765,0.1431,0.04545,10.59,11.26,0.6642,0.202,0.4368,0.2347,0.07802,0.05517,-0.02492,0.711,0.13190401
44060,"Spokane-Spokane Valley, WA",0.4547,-0.06723,-0.01409,0.04532,0.03599,-0.03142,0.1127,0.08799,13.3,12.85,0.1145,0.1818,0.06725,10.41,10.92,0.5114,0.1597,0.2994,0.1397,0.1024,0.06645,-0.03637,0.5202,0.076750003
44140,"Springfield, MA",0.01162,-0.02661,-0.00339,-0.004093,0.03409,-0.1181,0.1481,0.2004,13.29,13.27,0.1229,0.1902,0.06725,10.36,10.93,0.5659,0.1605,0.3244,0.1639,0.1084,0.07435,-0.0369,0.03224,0.11401
44700,"Stockton-Lodi, CA",0.8084,-0.07422,-0.01668,0.07674,0.01415,-0.0184,0.1093,0.1085,13.57,12.76,0.1121,0.1316,0.01943,10.43,10.9,0.4644,0.1085,0.2017,0.0932,0.06557,0.05142,-0.01736,0.9078,0.095150001
45060,"Syracuse, NY",-0.03772,-0.07917,-0.0189,0.04896,0.0491,-0.1113,0.2094,0.1782,13.34,13.37,0.1065,0.1929,0.08639,10.43,10.94,0.5073,0.1647,0.3344,0.1697,0.1085,0.05943,-0.04588,0.02899,0.16027001
45300,"Tampa-St. Petersburg-Clearwater, FL",0.6935,-0.07555,-0.00008194,0.03077,0.04487,-0.05233,0.128,0.09585,14.99,14.29,0.215,0.2025,-0.01252,10.32,10.89,0.5699,0.1295,0.3247,0.1952,0.1073,0.0624,-0.04463,0.8546,0.083091937
45780,"Toledo, OH",-0.05153,-0.07637,-0.04145,0.06773,0.05009,-0.05427,0.1721,0.195,13.28,13.33,0.1096,0.1738,0.06417,10.54,10.85,0.3143,0.1373,0.2851,0.1478,0.1176,0.06751,-0.04702,0.006024,0.122
46060,"Tucson, AZ",0.6614,-0.06386,0.0009197,0.03602,0.02692,-0.002627,0.06556,0.07095,13.84,13.18,0.1165,0.2125,0.09604,10.37,10.82,0.4532,0.1975,0.3262,0.1287,0.09195,0.06503,-0.03368,0.6927,0.038647301
46140,"Tulsa, OK",0.3555,-0.04739,0.008228,-0.007115,0.04628,-0.06657,0.1057,0.156,13.83,13.48,0.1061,0.1633,0.05717,10.45,10.79,0.3449,0.1535,0.2755,0.122,0.09892,0.05264,-0.04479,0.3549,0.059452001
46520,"Urban Honolulu, HI",0.232,-0.03972,-0.0007238,-0.0002849,0.04073,-0.02176,0.0622,0.04946,13.78,13.54,0.07245,0.1978,0.1253,10.47,10.95,0.4761,0.1948,0.3509,0.1561,0.08635,0.04562,-0.0463,0.1981,0.021473801
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",0.3525,-0.06814,-0.0008174,0.03105,0.03791,-0.04528,0.1142,0.1072,14.36,14.01,0.0785,0.1617,0.08322,10.33,10.87,0.5376,0.1373,0.3181,0.1808,0.08881,0.0509,-0.03976,0.3924,0.076327398
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.6018,-0.06033,0.002283,0.03789,0.02016,-0.006818,0.06487,0.03223,15.65,15.05,0.0768,0.1437,0.06689,10.67,11.23,0.5548,0.2813,0.4991,0.2178,0.07075,0.05059,-0.01901,0.6537,0.044705
48620,"Wichita, KS",0.3014,-0.04158,0.0192,0.006006,0.01637,-0.1039,0.1263,0.2427,13.37,13.07,0.1075,0.1616,0.05413,10.49,10.76,0.2752,0.16,0.2932,0.1332,0.08197,0.06561,-0.01459,0.3115,0.10991
49180,"Winston-Salem, NC",0.4209,0.003533,0.004468,-0.08268,0.07468,-0.1934,0.1854,0.3093,13.42,13,0.1022,0.186,0.08379,10.34,10.78,0.4411,0.1284,0.2859,0.1575,0.126,0.05134,-0.07418,0.3126,0.110719
49340,"Worcester, MA-CT",0.2309,-0.04969,0.003451,0.01882,0.02742,-0.1593,0.2056,0.2597,13.74,13.51,0.1276,0.1717,0.04405,10.44,11.05,0.6015,0.1441,0.3408,0.1967,0.09974,0.07232,-0.02726,0.3273,0.178119
